,source_id,source_lat,source_lon,type,ipcc_sector,number_overflights,source_persistence,confidence_in_persistence,qsource,sigma_qsource
0,P00001,32.212086346875,-103.69721195,tank,1B2 Oil & Natural Gas,12,0.833333333333333,0.968323647975922,865.484229838889,307.380288077778
1,P00002,32.1999367814286,-103.6733243,tank,1B2 Oil & Natural Gas,12,0.333333333333333,0.968323647975922,207.089504152778,47.4416342572222
2,P00003,32.1161354230769,-103.626582323077,tank,1B2 Oil & Natural Gas,12,0.583333333333333,0.968323647975922,305.700649822222,97.2549715440556
3,P00004,32.32259369,-103.8160722,pipeline,1B2 Oil & Natural Gas,11,0.0909090909090909,0.957764863967896,157.87675,94.1297881818182
4,P00005,32.28427896,-103.7939176,tank,1B2 Oil & Natural Gas,10,0.2,0.943686485290527,161.40469529,51.06946618
5,P00006,32.998981316,-102.812484,processing,1B2 Oil & Natural Gas,5,0.8,0.7626953125,1410.479729428,642.123719206667
6,P00007,32.02779078,-103.5707655,compressor,1B2 Oil & Natural Gas,14,0.785714285714286,0.982182051986456,582.025748935714,147.359171562619
7,P00008,32.32276356,-103.8142947,pipeline,1B2 Oil & Natural Gas,11,0.0909090909090909,0.957764863967896,186.776330909091,42.5337409090909
8,P00009,32.273275684,-103.79800346,tank,1B2 Oil & Natural Gas,10,0.5,0.943686485290527,439.71515677,167.212149672
9,P00010,32.26425783,-103.770907666667,compressor,1B2 Oil & Natural Gas,11,0.272727272727273,0.957764863967896,214.144906945455,56.9091417
10,P00011,31.91262444,-103.5361788,well,1B2 Oil & Natural Gas,11,0.0909090909090909,0.957764863967896,284.159695454545,51.7909844545455
11,P00012,32.10884742,-103.7698814,well,1B2 Oil & Natural Gas,10,0.1,0.943686485290527,566.52427,84.1892531
12,P00013,32.034891235,-103.68673845000001,tank,1B2 Oil & Natural Gas,10,0.2,0.943686485290527,81.8453734,20.43235661
13,P00014,31.95158414,-103.6136567,tank,1B2 Oil & Natural Gas,11,0.181818181818182,0.957764863967896,161.270185545455,27.9276872727273
14,P00015,31.9301051618182,-103.621619254545,tank,1B2 Oil & Natural Gas,11,0.818181818181818,0.957764863967896,706.606202227273,236.476486545455
15,P00016,31.67813822,-103.3896293,compressor,1B2 Oil & Natural Gas,6,0.333333333333333,0.822021484375,239.7188803,43.5897902783333
16,P00017,32.24555659,-103.9628398,tank,1B2 Oil & Natural Gas,10,0.1,0.943686485290527,137.565445,46.2580541
17,P00018,31.64552259,-103.5277496,pipeline,1B2 Oil & Natural Gas,6,0.166666666666667,0.822021484375,124.124472,44.2012933333333
18,P00019,32.18628076375,-103.9923173375,tank,1B2 Oil & Natural Gas,9,0.555555555555556,0.924915313720703,578.793753353704,178.600525737037
19,P00020,31.702465014,-103.58019114,pipeline,1B2 Oil & Natural Gas,9,1.0,0.924915313720703,1079.51156616667,357.896611977778
20,P00021,32.1504132188889,-103.996099644444,compressor,1B2 Oil & Natural Gas,10,0.9,0.943686485290527,509.75592256,197.28327148
21,P00022,32.04313601,-103.9368969,well,1B2 Oil & Natural Gas,10,0.1,0.943686485290527,174.3125945,36.02087075
22,P00023,31.915879162,-103.859238,compressor,1B2 Oil & Natural Gas,9,0.555555555555556,0.924915313720703,330.886269688889,137.380869344444
23,P00024,32.109164375,-104.0444968125,pipeline,1B2 Oil & Natural Gas,9,0.777777777777778,0.924915313720703,339.887590622222,149.356240122222
24,P00025,31.711667165,-103.7660318,compressor,1B2 Oil & Natural Gas,7,0.142857142857143,0.86651611328125,246.362487857143,126.123083142857
25,P00026,31.501934275,-103.62211485,tank,1B2 Oil & Natural Gas,4,0.25,0.68359375,31.22641287125,14.60692353125
